num_cancion,ngramas,pad,recurrente,transformer
1,Z,P,K,P
2,Z,P,P,P
3,Z,P,K,P
4,Z,P,P,P
5,Z,P,P,P
6,Z,P,P,P
7,Z,P,K,P
8,Z,P,P,K
9,Z,P,K,P
10,Z,P,P,K
11,Z,K,K,K
12,Z,P,K,P
13,Z,K,K,K
14,Z,K,K,K
15,Z,K,K,K
16,Z,P,K,P
17,Z,K,K,K
18,Z,P,P,P
19,Z,P,K,K
20,Z,P,P,K
21,Z,P,P,P
22,Z,K,K,K
23,Z,K,K,K
24,Z,P,P,P
25,Z,K,K,K
26,Z,P,K,K
27,Z,K,K,K
28,Z,K,K,K
29,Z,P,P,P
30,Z,K,K,K
31,Z,P,P,K
32,Z,K,K,K
33,Z,P,K,K
34,Z,P,K,P
35,Z,K,K,K
36,Z,P,K,P
37,Z,K,K,K
38,Z,P,P,P
39,Z,K,K,K
40,Z,K,K,K
41,Z,P,P,K
42,Z,P,P,P
43,Z,K,K,K
44,Z,P,P,K
45,Z,K,K,K
46,Z,K,K,P
47,Z,K,P,K
48,Z,K,K,K
49,Z,K,P,K
50,Z,P,P,K
51,Z,K,P,K
52,Z,K,K,K
53,Z,P,K,K
54,Z,K,K,P
55,Z,K,K,P
56,Z,P,K,K
57,Z,P,P,K
58,Z,K,K,K
59,Z,P,P,P
60,Z,K,P,K
61,Z,P,P,P
62,Z,K,K,K
63,Z,P,P,P
64,Z,P,K,P
65,Z,P,P,K
66,Z,K,K,K
67,Z,K,K,K
68,Z,P,P,P
69,Z,K,P,K
70,Z,P,P,P
71,Z,P,P,P
72,Z,P,P,P
73,Z,P,K,K
74,Z,P,P,P
75,Z,P,P,P
76,Z,P,P,P
77,Z,K,K,K
78,Z,K,P,K
79,Z,P,P,P
80,Z,P,P,P
81,Z,K,K,K
82,Z,P,K,P
83,Z,K,K,K
84,Z,K,P,P
85,Z,P,P,K
86,Z,P,K,P
87,Z,K,K,K
88,Z,P,P,P
89,Z,P,P,P
90,Z,K,K,K
91,Z,K,K,K
92,Z,K,P,P
93,Z,P,P,P
94,Z,K,K,K
95,Z,P,K,P
96,Z,K,K,P
97,Z,P,P,P
98,Z,P,K,P
99,Z,P,P,P
100,Z,P,P,P
101,Z,P,K,P
102,Z,P,P,P
103,Z,P,K,P
104,Z,K,P,K
105,Z,K,P,P
106,Z,K,K,K
107,Z,K,P,K
108,Z,P,P,P
109,Z,K,K,K
110,Z,K,K,K
111,Z,K,K,K
112,Z,K,K,P
113,Z,P,P,K
114,Z,K,P,K
115,Z,P,K,K
116,Z,P,P,P
117,Z,K,K,K
118,Z,P,K,K
119,Z,P,P,K
120,Z,P,P,P
121,Z,K,K,K
122,Z,K,K,K
123,Z,P,P,K
124,Z,K,K,K
125,Z,P,P,P
126,Z,K,K,K
127,Z,P,K,P
128,Z,K,K,K
129,Z,K,K,K
130,Z,K,K,K
131,Z,K,K,K
132,Z,K,K,K
133,Z,P,P,P
134,Z,P,P,P
135,Z,P,K,P
136,Z,K,K,P
137,Z,K,K,P
138,Z,P,K,K
139,Z,P,P,K
140,Z,P,K,P
141,Z,P,P,P
142,Z,P,P,P
143,Z,P,P,K
144,Z,K,K,K
145,Z,K,K,K
146,Z,P,P,K
147,Z,P,P,P
148,Z,K,K,K
149,Z,P,P,P
150,Z,P,K,K
151,Z,P,K,P
152,Z,P,P,P
153,Z,P,K,K
154,Z,P,K,K
155,Z,P,P,P
156,Z,P,P,P
157,Z,K,K,K
158,Z,P,K,P
159,Z,P,P,P
160,Z,P,P,P
161,Z,P,P,K
162,Z,K,K,K
163,Z,P,P,P
164,Z,P,P,P
165,Z,K,K,K
166,Z,K,K,K
167,Z,K,K,P
168,Z,K,K,K
169,Z,K,K,K
170,Z,K,K,P
171,Z,P,P,K
172,Z,K,K,P
173,Z,P,P,P
174,Z,P,P,P
175,Z,P,P,P
176,Z,P,P,P
177,Z,K,K,K
178,Z,K,K,K
179,Z,P,P,P
180,Z,P,K,P
181,Z,P,K,P
182,Z,P,P,P
183,Z,K,K,K
184,Z,K,K,P
185,Z,P,P,P
186,Z,P,P,K
187,Z,K,K,K
188,Z,P,K,P
189,Z,P,P,K
190,Z,P,K,K
191,Z,K,K,K
192,Z,P,P,P
193,Z,P,P,P
194,Z,P,P,P
195,Z,P,K,K
